CustomerID,Age,Annual_Income_kUSD,Spending_Score,Total_Transactions,Avg_Order_Value,Web_Engagement_Score
CUST-166,28,36,68,25,36.27,8.1
CUST-167,27,34,66,27,37.7,7.5
CUST-168,29,38,62,30,39.99,7.0
CUST-169,29,41,59,29,38.67,7.0
CUST-170,30,42,65,26,37.47,7.1
CUST-171,27,40,64,29,38.22,7.1
CUST-172,25,43,66,18,45.35,6.8
CUST-173,26,35,65,30,36.74,6.7
CUST-174,29,48,67,22,37.64,6.6
CUST-175,23,41,60,26,40.62,6.2
CUST-176,27,47,68,24,40.81,6.5
CUST-177,24,43,63,23,41.09,5.6
CUST-178,26,43,71,30,39.18,6.6
CUST-179,29,44,59,25,32.94,6.0
CUST-180,26,43,70,28,42.66,6.0
CUST-181,26,44,63,27,32.93,6.7
CUST-182,21,48,59,28,38.0,7.5
CUST-183,28,42,60,27,34.3,7.2
CUST-184,27,45,61,23,36.72,5.7
CUST-185,32,41,64,30,38.09,6.0
CUST-186,24,48,64,25,38.06,7.2
CUST-187,26,38,60,22,38.42,6.0
CUST-188,26,50,62,26,42.59,6.5
CUST-189,30,41,72,31,38.53,7.0
CUST-190,25,34,70,29,36.09,6.0
CUST-191,26,42,64,26,40.31,6.7
CUST-192,27,38,62,26,41.1,5.8
CUST-193,26,45,63,26,32.64,6.3
CUST-194,24,38,65,33,39.03,6.8
CUST-195,26,39,58,28,39.39,5.7
CUST-196,29,32,61,28,35.9,6.9
CUST-197,22,39,55,30,41.75,6.6
CUST-198,26,29,64,28,36.41,7.0
CUST-199,23,33,65,26,37.38,6.8
CUST-200,29,45,60,26,36.33,7.4
