Industry,Contract_Plan,Billing_Cycle,Onboarding_Tier,Monthly_Contract_Value,Tenure_Months,Licensed_Seats,Active_Seats,Support_Tickets,Unresolved_Bugs,API_Calls_Monthly,Churn
Media,Growth,Multi-Year,Assisted,1835.8,8,23,6,2,1,109405.0,0
Logistics,Growth,Quarterly,Assisted,576.73,29,15,3,1,1,771.0,0
E-Commerce,Startup,Quarterly,Assisted,589.37,15,26,7,2,1,147698.0,0
Media,Growth,Monthly,Assisted,1637.96,2,24,15,0,0,114582.0,0
FinTech,Startup,Annual,Self-Serve,2384.55,8,20,10,3,1,27051.0,0
FinTech,Growth,Monthly,Dedicated-CSM,272.15,5,21,9,0,0,52925.0,0
FinTech,Startup,Annual,Self-Serve,2087.49,13,17,7,1,0,,0
HealthTech,Growth,Multi-Year,Dedicated-CSM,844.11,33,19,6,2,1,40478.0,0
HealthTech,Startup,Multi-Year,Self-Serve,1136.96,10,19,10,0,0,5096.0,0
HealthTech,Enterprise,Quarterly,Dedicated-CSM,428.98,10,16,5,3,2,96085.0,0
Logistics,Startup,Annual,Self-Serve,649.45,42,23,17,1,1,7202.0,0
HealthTech,Growth,Annual,Self-Serve,3044.85,15,28,8,3,2,14871.0,0
HealthTech,Growth,Monthly,Self-Serve,1377.37,15,17,16,4,3,103382.0,1
E-Commerce,Enterprise,Annual,Assisted,967.43,5,15,4,4,2,14788.0,0
FinTech,Growth,Monthly,Dedicated-CSM,1213.16,16,26,24,0,0,68341.0,0
Logistics,Growth,Quarterly,Assisted,2030.08,15,19,16,3,1,29681.0,0
FinTech,Enterprise,Monthly,Dedicated-CSM,1947.73,9,25,18,1,0,71304.0,0
Media,Enterprise,Monthly,Assisted,1256.68,72,27,25,1,0,13221.0,0
EdTech,Startup,Monthly,Assisted,3391.46,38,20,6,1,1,27199.0,0
FinTech,Growth,Monthly,Dedicated-CSM,3056.1,24,16,5,3,1,19148.0,0
FinTech,Enterprise,Annual,Self-Serve,1903.34,13,19,7,0,0,14320.0,0
Logistics,Custom,Monthly,Self-Serve,1403.07,11,20,7,2,1,18875.0,0
EdTech,Enterprise,Quarterly,Dedicated-CSM,2341.91,3,19,8,0,0,19504.0,0
EdTech,Growth,Monthly,Dedicated-CSM,1749.57,6,19,12,3,2,155477.0,1
EdTech,Startup,Quarterly,Dedicated-CSM,3300.01,26,26,5,5,1,38096.0,0
FinTech,Growth,Annual,Dedicated-CSM,2877.36,10,21,10,2,1,31000.0,0
HealthTech,Enterprise,Quarterly,Self-Serve,563.68,38,23,9,1,1,34990.0,0
FinTech,Growth,Annual,Dedicated-CSM,532.15,2,14,9,3,3,277738.0,1
Logistics,Growth,Monthly,Assisted,738.0,12,12,11,3,1,53006.0,0
E-Commerce,Enterprise,Annual,Dedicated-CSM,3070.88,18,11,6,1,1,60783.0,0
HealthTech,Growth,Monthly,Assisted,350.77,13,22,11,2,0,18816.0,0
FinTech,Enterprise,Quarterly,Assisted,1873.46,39,18,8,3,0,31889.0,0
HealthTech,Growth,Annual,Assisted,1822.86,72,19,15,4,1,10171.0,0
HealthTech,Startup,Monthly,Self-Serve,3598.42,2,27,6,1,0,57789.0,0
EdTech,Growth,Annual,Self-Serve,1561.32,2,25,24,1,0,21117.0,0
E-Commerce,Enterprise,Annual,Dedicated-CSM,427.64,2,30,16,3,0,68974.0,0
Logistics,Startup,Monthly,Dedicated-CSM,592.62,20,24,10,1,0,11987.0,0
E-Commerce,Startup,Monthly,Self-Serve,490.44,8,20,19,3,1,25834.0,0
FinTech,Custom,Monthly,Assisted,847.89,23,25,23,1,0,31856.0,0
EdTech,Startup,Multi-Year,Assisted,1146.57,9,19,13,1,0,9108.0,0
EdTech,Growth,Annual,Assisted,497.39,17,18,3,0,0,3607.0,0
E-Commerce,Growth,Monthly,Self-Serve,4675.37,26,16,12,0,0,19068.0,0
EdTech,Growth,Monthly,Dedicated-CSM,434.2,14,20,9,2,0,39361.0,0
E-Commerce,Growth,Quarterly,Assisted,4205.67,13,15,7,2,1,52875.0,0
E-Commerce,Startup,Annual,Assisted,3667.95,1,17,5,1,0,27693.0,0
HealthTech,Growth,Monthly,Assisted,2874.28,9,24,14,0,0,34685.0,0
FinTech,Growth,Monthly,Self-Serve,742.7,14,22,17,4,1,39175.0,0
FinTech,Growth,Annual,Assisted,1791.99,11,31,12,1,1,35863.0,0
FinTech,Startup,Monthly,Self-Serve,452.25,41,23,21,3,3,4734.0,0
E-Commerce,Growth,Monthly,Self-Serve,2905.24,42,20,7,1,0,25960.0,0
HealthTech,Startup,Multi-Year,Assisted,1257.79,31,19,4,0,0,11429.0,0
E-Commerce,Startup,Annual,Dedicated-CSM,945.84,8,20,14,0,0,38150.0,0
Media,Startup,Monthly,Assisted,473.34,22,16,14,1,0,70957.0,0
FinTech,Startup,Monthly,Self-Serve,163.06,9,16,15,3,0,43314.0,0
HealthTech,Enterprise,Monthly,Assisted,554.04,4,15,12,1,1,12540.0,0
EdTech,Startup,Monthly,Dedicated-CSM,3449.13,7,17,6,1,0,11644.0,0
FinTech,Custom,Annual,Assisted,951.07,1,16,15,2,1,1885.0,0
FinTech,Custom,Monthly,Dedicated-CSM,1159.88,7,24,22,2,1,27789.0,0
HealthTech,Growth,Annual,Assisted,2338.4,11,18,5,1,1,28358.0,0
FinTech,Startup,Multi-Year,Assisted,6215.61,56,26,16,3,0,13488.0,0
Media,Growth,Monthly,Self-Serve,4130.91,6,28,18,1,1,72251.0,1
Logistics,Enterprise,Monthly,Self-Serve,586.11,41,18,9,2,1,24428.0,0
E-Commerce,Growth,Quarterly,Self-Serve,256.93,4,26,25,0,0,55343.0,0
Logistics,Startup,Multi-Year,Assisted,9953.43,3,19,4,5,1,51092.0,1
Logistics,Growth,Annual,Dedicated-CSM,9215.51,13,28,19,3,0,46411.0,0
FinTech,Enterprise,Monthly,Dedicated-CSM,1572.13,20,16,5,6,3,119334.0,0
Logistics,Enterprise,Annual,Self-Serve,454.9,1,16,9,1,1,801.0,0
E-Commerce,Startup,Quarterly,Self-Serve,3037.36,4,16,13,1,0,3523.0,0
Logistics,Growth,Multi-Year,Self-Serve,1221.96,10,14,5,1,0,64032.0,0
Logistics,Startup,Monthly,Self-Serve,1216.78,7,22,11,0,0,21811.0,0
HealthTech,Startup,Quarterly,Assisted,2864.9,22,11,10,4,2,215336.0,1
FinTech,Enterprise,Annual,Dedicated-CSM,1779.73,12,14,11,0,0,12194.0,0
FinTech,Startup,Monthly,Dedicated-CSM,488.85,3,22,14,3,1,10131.0,0
HealthTech,Startup,Quarterly,Assisted,1016.35,40,18,6,4,1,44364.0,0
Logistics,Startup,Monthly,Dedicated-CSM,2349.55,6,21,11,3,0,16385.0,0
Logistics,Enterprise,Monthly,Assisted,2066.71,23,20,16,2,1,20813.0,1
FinTech,Enterprise,Monthly,,1673.57,27,14,11,0,0,126931.0,0
E-Commerce,Growth,Multi-Year,Assisted,2961.38,59,16,6,2,0,1330.0,0
HealthTech,Enterprise,Monthly,Assisted,984.9,12,18,13,3,1,37885.0,0
FinTech,Startup,Quarterly,Assisted,1559.11,17,26,7,1,0,20391.0,0
FinTech,Growth,Annual,Self-Serve,150.0,7,20,4,1,1,21232.0,0
HealthTech,Growth,Monthly,Self-Serve,913.97,20,19,12,2,0,14238.0,0
Media,Startup,Quarterly,Self-Serve,2563.98,11,14,5,0,0,7243.0,0
HealthTech,Growth,Annual,Dedicated-CSM,961.18,10,24,6,0,0,1755.0,0
E-Commerce,Custom,Annual,Assisted,901.18,34,25,19,5,2,219890.0,0
EdTech,Startup,Annual,Assisted,552.67,1,28,16,1,0,53994.0,0
HealthTech,Startup,Annual,Assisted,3142.77,38,24,20,7,3,75075.0,0
Media,Startup,Monthly,Self-Serve,2134.94,34,21,15,2,1,3361.0,0
Media,Startup,Multi-Year,Assisted,2701.61,12,26,20,4,0,747.0,0
HealthTech,Custom,Monthly,Dedicated-CSM,308.81,12,29,12,1,0,45851.0,0
E-Commerce,Growth,Annual,Assisted,1168.67,8,21,8,1,1,64337.0,0
HealthTech,Growth,Monthly,Dedicated-CSM,1055.64,72,13,8,3,1,25115.0,0
HealthTech,Enterprise,Multi-Year,Self-Serve,1055.23,2,24,8,2,1,24531.0,0
FinTech,Startup,Annual,Self-Serve,793.44,16,25,21,2,2,24264.0,0
E-Commerce,Growth,Annual,Dedicated-CSM,998.06,20,15,9,1,0,8288.0,0
E-Commerce,Growth,Monthly,Dedicated-CSM,2757.83,49,23,8,0,0,70104.0,0
FinTech,Growth,Monthly,Dedicated-CSM,263.51,27,22,15,1,0,12116.0,0
HealthTech,Custom,Annual,Assisted,6067.49,18,19,18,3,1,19608.0,0
Media,Enterprise,Annual,Dedicated-CSM,2020.83,2,29,7,2,0,55624.0,0
FinTech,Growth,Monthly,Dedicated-CSM,1292.09,8,21,6,4,2,100.0,1
FinTech,Enterprise,Multi-Year,Dedicated-CSM,2895.2,2,28,24,0,0,72677.0,0
E-Commerce,Startup,Annual,Assisted,389.92,38,22,6,0,0,114679.0,0
Media,Startup,Monthly,Self-Serve,761.28,24,21,4,3,0,2650.0,0
FinTech,Startup,Annual,Dedicated-CSM,1208.44,25,26,12,1,0,44778.0,0
EdTech,Startup,Quarterly,Assisted,4275.8,19,25,14,5,3,26251.0,1
EdTech,Growth,Quarterly,Assisted,1287.53,12,14,9,3,1,4086.0,0
FinTech,Growth,Monthly,Assisted,1963.62,2,20,12,4,3,57322.0,1
EdTech,Custom,Quarterly,Assisted,811.48,7,14,13,5,3,47379.0,0
HealthTech,Growth,Annual,Assisted,2025.99,2,23,18,2,1,51453.0,0
E-Commerce,Growth,Monthly,Self-Serve,5572.8,23,16,15,0,0,83965.0,0
E-Commerce,Startup,Annual,Dedicated-CSM,3121.9,3,17,9,2,0,16908.0,0
E-Commerce,Startup,Annual,Assisted,1249.83,21,20,5,1,0,56516.0,0
FinTech,Growth,Annual,Assisted,2378.36,21,18,17,1,0,67996.0,0
Logistics,Growth,Monthly,Self-Serve,2188.32,11,25,5,1,0,9245.0,0
HealthTech,Enterprise,Annual,Self-Serve,2060.28,2,19,15,7,1,157406.0,0
FinTech,Startup,Quarterly,Self-Serve,3446.66,6,14,3,3,3,20774.0,1
FinTech,Startup,Monthly,Assisted,3424.83,6,23,18,1,0,62537.0,0
E-Commerce,Growth,Monthly,Self-Serve,1202.21,21,22,20,2,0,70125.0,0
EdTech,Startup,Quarterly,Dedicated-CSM,2311.37,2,15,7,4,2,35062.0,1
FinTech,Startup,Annual,Self-Serve,967.17,31,21,8,3,0,6889.0,0
E-Commerce,Enterprise,Monthly,Self-Serve,611.18,25,21,8,3,0,16125.0,0
FinTech,Startup,Annual,Self-Serve,1065.21,3,25,14,4,0,13345.0,0
E-Commerce,Growth,Monthly,Self-Serve,1255.34,22,19,6,2,0,36557.0,0
FinTech,Startup,Quarterly,Assisted,326.25,19,27,19,1,0,,0
EdTech,Startup,Multi-Year,Dedicated-CSM,2782.99,24,27,13,5,1,39568.0,0
HealthTech,Growth,Annual,Assisted,150.0,3,18,8,1,0,16998.0,0
Media,Enterprise,Monthly,,13461.57,3,19,10,6,2,100.0,1
FinTech,Growth,Quarterly,Self-Serve,4801.09,4,17,10,3,1,22569.0,1
HealthTech,Enterprise,Monthly,Assisted,1072.92,8,14,4,2,1,46678.0,0
FinTech,Startup,Monthly,Dedicated-CSM,1350.21,28,17,13,1,0,74294.0,0
Media,Enterprise,Annual,Self-Serve,1732.86,24,23,20,4,0,1439.0,0
Logistics,Startup,Annual,Assisted,811.77,46,19,8,1,1,14941.0,0
HealthTech,Growth,Monthly,Assisted,1577.7,1,21,7,1,0,211550.0,0
EdTech,Growth,Multi-Year,Self-Serve,1185.12,1,22,17,1,0,15178.0,0
Logistics,Custom,Quarterly,Assisted,1236.29,21,21,7,4,3,75074.0,1
E-Commerce,Growth,Monthly,Self-Serve,1562.81,5,26,6,0,0,35604.0,0
E-Commerce,Startup,Quarterly,Assisted,438.56,7,20,13,1,0,6515.0,0
FinTech,Startup,Annual,Self-Serve,1385.25,14,11,4,3,3,51557.0,0
FinTech,Enterprise,Quarterly,Assisted,1539.07,1,19,6,2,0,169574.0,0
Logistics,Growth,Quarterly,Self-Serve,1494.46,18,16,15,0,0,108943.0,0
Media,Enterprise,Quarterly,Dedicated-CSM,1114.93,7,22,9,1,0,58606.0,0
E-Commerce,Startup,Monthly,Self-Serve,3523.39,18,29,26,2,0,35887.0,0
HealthTech,Startup,Annual,Dedicated-CSM,991.67,32,20,6,1,1,19234.0,0
HealthTech,Startup,Quarterly,Dedicated-CSM,1624.94,3,20,17,0,0,22078.0,0
EdTech,Custom,Monthly,Dedicated-CSM,4034.76,48,26,15,1,0,21248.0,0
Logistics,Growth,Annual,Assisted,1252.04,13,15,3,3,2,127605.0,0
Logistics,Custom,Multi-Year,Assisted,1607.27,46,20,15,1,0,11869.0,0
EdTech,Startup,Multi-Year,Self-Serve,1234.07,4,17,15,2,2,23743.0,0
E-Commerce,Growth,Monthly,Self-Serve,3834.38,16,22,7,3,1,28278.0,1
FinTech,Growth,Monthly,Assisted,1075.92,9,12,9,2,1,26289.0,0
FinTech,Startup,Quarterly,Self-Serve,3987.23,26,24,13,1,0,210.0,0
Logistics,Enterprise,Monthly,Dedicated-CSM,1226.54,16,26,20,4,1,15802.0,0
E-Commerce,Custom,Multi-Year,Self-Serve,645.13,12,30,23,2,0,34514.0,0
FinTech,Enterprise,Monthly,Assisted,2386.22,43,21,4,2,1,71459.0,1
FinTech,Enterprise,Monthly,Assisted,1033.84,8,22,7,1,0,42137.0,0
EdTech,Startup,Monthly,Assisted,2269.75,4,21,12,3,0,24295.0,0
FinTech,Startup,Monthly,Assisted,150.0,16,20,18,2,0,54702.0,0
FinTech,Custom,Annual,Self-Serve,1345.37,17,20,9,2,0,54815.0,0
E-Commerce,Startup,Quarterly,Assisted,906.27,10,17,11,3,1,14246.0,0
EdTech,Enterprise,Monthly,Self-Serve,542.52,12,21,4,1,1,5478.0,1
EdTech,Enterprise,Monthly,Dedicated-CSM,836.93,57,16,12,3,0,81274.0,0
FinTech,Growth,Quarterly,Assisted,822.5,23,27,18,3,1,37728.0,0
EdTech,Custom,Monthly,Dedicated-CSM,1285.9,2,15,11,3,2,9711.0,0
FinTech,Startup,Annual,Self-Serve,418.96,4,17,15,1,0,15195.0,0
HealthTech,Startup,Quarterly,Self-Serve,1752.56,66,18,5,5,3,72712.0,1
EdTech,Startup,Annual,Self-Serve,4278.18,23,24,9,3,2,52961.0,0
E-Commerce,Growth,Multi-Year,Self-Serve,1700.69,44,17,16,0,0,145173.0,0
Logistics,Startup,Multi-Year,Self-Serve,2664.15,6,21,6,0,0,31270.0,0
EdTech,Startup,Multi-Year,Assisted,3396.08,24,25,19,1,0,2680.0,0
E-Commerce,Enterprise,Monthly,Self-Serve,3831.52,22,32,24,3,2,60269.0,0
FinTech,Custom,Monthly,Assisted,6565.72,6,18,13,1,0,14713.0,0
HealthTech,Startup,Monthly,Dedicated-CSM,876.27,14,21,8,1,0,19567.0,0
HealthTech,Growth,Annual,Assisted,727.26,17,26,9,3,1,10948.0,0
FinTech,Custom,Multi-Year,Self-Serve,2606.97,11,25,18,3,2,18476.0,0
Media,Startup,Annual,Self-Serve,2445.55,31,16,5,0,0,88445.0,0
HealthTech,Startup,Monthly,Assisted,2589.77,32,22,16,2,1,42985.0,0
Logistics,Startup,Multi-Year,,6673.44,34,22,13,2,0,5779.0,0
E-Commerce,Growth,Monthly,Assisted,1352.44,29,24,12,3,2,44167.0,0
EdTech,Startup,Monthly,Self-Serve,1924.14,12,22,9,1,0,50196.0,0
E-Commerce,Custom,Monthly,Dedicated-CSM,582.12,8,29,27,3,2,108065.0,0
E-Commerce,Growth,Monthly,Assisted,8225.74,32,22,13,2,1,98179.0,1
E-Commerce,Growth,Quarterly,Assisted,1006.2,12,19,12,4,1,3247.0,0
FinTech,Startup,Monthly,Self-Serve,1030.72,5,30,28,1,0,100757.0,0
EdTech,Growth,Quarterly,Self-Serve,997.51,12,19,13,2,1,2611.0,0
HealthTech,Growth,Annual,Assisted,774.21,2,18,17,5,3,8369.0,0
FinTech,Enterprise,Annual,Assisted,720.52,21,22,6,1,0,5914.0,0
E-Commerce,Enterprise,Annual,Self-Serve,858.21,7,15,13,2,2,10026.0,0
FinTech,Growth,Monthly,Self-Serve,419.5,5,19,8,3,3,81294.0,1
Media,Custom,Annual,Self-Serve,687.1,56,20,16,6,3,,0
Media,Enterprise,Multi-Year,Assisted,7020.7,27,18,15,3,2,58072.0,0
Media,Enterprise,Monthly,Self-Serve,2503.15,27,16,6,4,2,127634.0,1
HealthTech,Startup,Quarterly,Assisted,2942.51,17,19,10,4,0,24867.0,0
FinTech,Startup,Monthly,Assisted,3643.24,32,17,13,2,1,165.0,0
Media,Startup,Monthly,Assisted,6367.83,25,23,6,2,1,51050.0,0
HealthTech,Growth,Annual,Dedicated-CSM,297.17,16,22,17,3,2,101276.0,0
Media,Growth,Annual,Dedicated-CSM,470.88,58,22,6,4,2,187030.0,0
Media,Growth,Monthly,Assisted,676.43,3,15,13,1,1,22619.0,0
Logistics,Enterprise,Annual,Self-Serve,898.5,51,29,12,1,1,86341.0,0
HealthTech,Enterprise,Annual,Assisted,1037.44,9,21,13,2,0,94599.0,0
HealthTech,Custom,Multi-Year,Assisted,916.05,13,18,5,4,0,7800.0,0
Logistics,Startup,Monthly,Assisted,1613.91,2,27,11,0,0,49916.0,1
HealthTech,Growth,Multi-Year,Assisted,1380.22,13,26,13,0,0,9506.0,0
FinTech,Startup,Monthly,Self-Serve,724.58,17,19,11,1,0,29586.0,0
E-Commerce,Startup,Quarterly,Assisted,210.77,72,29,5,8,3,105709.0,0
Media,Startup,Monthly,Self-Serve,575.97,66,22,20,1,1,77906.0,0
EdTech,Startup,Monthly,Assisted,839.79,61,18,3,4,2,42238.0,0
E-Commerce,Growth,Annual,Self-Serve,1085.7,7,23,18,3,2,82698.0,0
FinTech,Enterprise,Monthly,Assisted,512.75,72,19,10,5,1,8293.0,0
E-Commerce,Startup,Monthly,Self-Serve,882.55,10,25,15,2,0,10841.0,0
Media,Enterprise,Monthly,Assisted,512.17,34,26,9,0,0,11714.0,0
FinTech,Growth,Annual,Assisted,1203.58,4,21,14,4,2,74808.0,0
E-Commerce,Startup,Monthly,Self-Serve,538.01,12,8,5,3,1,110805.0,0
Logistics,Growth,Annual,Assisted,650.95,60,12,3,3,0,41372.0,0
EdTech,Startup,Monthly,Assisted,440.37,52,20,7,1,1,158471.0,0
EdTech,Growth,Monthly,Assisted,1175.59,20,17,4,2,1,65103.0,0
EdTech,Growth,Monthly,Self-Serve,641.31,28,18,4,4,1,41469.0,0
HealthTech,Startup,Quarterly,Assisted,2895.08,3,20,4,5,0,47285.0,0
HealthTech,Startup,Monthly,Assisted,1891.21,23,21,7,5,2,94701.0,0
Logistics,Growth,Monthly,Assisted,1262.22,17,13,9,1,0,4725.0,0
Logistics,Custom,Multi-Year,Assisted,680.03,1,21,9,3,1,9197.0,0
Logistics,Startup,Annual,Assisted,1850.93,2,18,8,2,0,15482.0,0
Media,Enterprise,Monthly,Self-Serve,2409.31,2,20,6,2,0,112583.0,0
E-Commerce,Growth,Monthly,Self-Serve,1512.15,23,20,13,1,0,144971.0,0
E-Commerce,Custom,Annual,Self-Serve,5235.13,2,23,10,2,0,22016.0,1
EdTech,Enterprise,Monthly,Self-Serve,1979.68,11,17,12,9,1,128757.0,0
E-Commerce,Growth,Monthly,Assisted,2911.91,7,21,16,3,2,39576.0,0
EdTech,Growth,Annual,Assisted,1500.47,14,20,13,4,0,32054.0,0
EdTech,Enterprise,Annual,Self-Serve,2378.71,22,24,10,2,1,89418.0,0
Logistics,Growth,Quarterly,Dedicated-CSM,680.44,20,20,12,2,1,39492.0,0
HealthTech,Startup,Monthly,Assisted,907.2,13,26,10,2,0,30301.0,0
HealthTech,Startup,Monthly,Dedicated-CSM,1802.55,11,22,20,2,0,805.0,0
FinTech,Enterprise,Annual,Assisted,1791.46,9,18,14,1,0,649.0,0
E-Commerce,Enterprise,Monthly,Assisted,2062.08,35,16,9,2,0,49388.0,0
FinTech,Startup,Quarterly,Self-Serve,3412.96,7,12,11,3,1,3813.0,0
E-Commerce,Growth,Quarterly,Self-Serve,398.93,5,22,14,1,1,66770.0,0
E-Commerce,Growth,Monthly,Self-Serve,585.06,24,23,10,4,0,48688.0,0
HealthTech,Startup,Multi-Year,Assisted,1628.05,8,18,4,2,1,30600.0,0
E-Commerce,Custom,Annual,Self-Serve,723.64,33,23,14,2,2,61860.0,0
FinTech,Startup,Annual,Assisted,20000.0,7,17,15,2,0,248604.0,1
FinTech,Startup,Monthly,Self-Serve,2076.34,21,19,16,4,0,14142.0,0
Logistics,Growth,Monthly,Dedicated-CSM,1253.15,1,16,10,3,1,40716.0,0
HealthTech,Enterprise,Quarterly,Self-Serve,864.24,8,23,11,4,3,92530.0,0
FinTech,Startup,Monthly,Self-Serve,890.57,7,34,24,3,0,851.0,0
E-Commerce,Growth,Multi-Year,Self-Serve,1374.19,30,22,17,1,0,11377.0,0
EdTech,Growth,Monthly,Assisted,1473.19,61,11,5,1,0,36798.0,0
FinTech,Startup,Quarterly,Self-Serve,908.51,11,20,11,4,1,40176.0,0
E-Commerce,Startup,Monthly,Assisted,1061.91,31,23,17,2,0,4514.0,0
FinTech,Growth,Annual,Self-Serve,4199.17,21,16,14,0,0,26164.0,0
FinTech,Startup,Monthly,Self-Serve,4345.21,61,14,11,4,1,36676.0,0
E-Commerce,Custom,Monthly,Dedicated-CSM,1659.43,29,23,5,1,1,27494.0,0
E-Commerce,Enterprise,Monthly,Self-Serve,428.35,1,25,7,1,1,60298.0,1
E-Commerce,Custom,Annual,Dedicated-CSM,2116.94,22,15,13,3,2,73781.0,0
EdTech,Startup,Monthly,Dedicated-CSM,5019.77,13,17,14,2,0,30834.0,1
Media,Custom,Multi-Year,Self-Serve,4291.17,1,19,9,3,0,27727.0,1
E-Commerce,Growth,Annual,Self-Serve,2500.54,5,18,12,3,1,61101.0,1
HealthTech,Startup,Monthly,Self-Serve,4487.54,45,22,20,2,1,40518.0,0
EdTech,Startup,Annual,Assisted,1401.61,46,26,24,0,0,102180.0,0
HealthTech,Startup,Monthly,,2284.47,28,25,20,2,0,32807.0,0
HealthTech,Growth,Multi-Year,Assisted,750.95,72,19,6,2,1,42704.0,0
FinTech,Growth,Quarterly,Assisted,1717.16,29,19,14,1,0,6894.0,0
FinTech,Startup,Monthly,Self-Serve,4146.85,1,15,4,3,1,90394.0,1
Media,Growth,Monthly,,811.59,6,19,17,2,0,27434.0,1
Logistics,Startup,Monthly,Assisted,644.05,1,12,3,4,2,63481.0,1
EdTech,Growth,Multi-Year,Assisted,1455.15,1,24,17,1,0,28061.0,0
HealthTech,Growth,Monthly,Dedicated-CSM,1104.71,4,21,14,2,2,100.0,1
FinTech,Enterprise,Annual,Assisted,2325.7,12,15,12,3,2,25575.0,0
FinTech,Enterprise,Monthly,Self-Serve,911.17,33,16,10,3,2,7979.0,0
HealthTech,Growth,Multi-Year,Assisted,5771.42,35,10,2,1,1,25426.0,0
